http://fx.sauder.ubc.ca/data.html

PACIFIC Exchange Rate Service
Jul.Day,YYYY/MM/DD,RUB/CAD
2457025,2015/01/02,50.125
2457028,2015/01/05,51.047
2457029,2015/01/06,53.079
2457030,2015/01/07,53.305
2457031,2015/01/08,50.787
2457032,2015/01/09,52.247
2457035,2015/01/12,52.91
2457036,2015/01/13,55.066
2457037,2015/01/14,55.218
2457038,2015/01/15,54.259
2457039,2015/01/16,54.289
2457042,2015/01/19,54.171
2457043,2015/01/20,54.142
2457044,2015/01/21,52.77
2457045,2015/01/22,52.138
2457046,2015/01/23,51.361
2457049,2015/01/26,53.476
2457050,2015/01/27,53.967
2457051,2015/01/28,54.585
2457052,2015/01/29,54.764
2457053,2015/01/30,55.371
2457056,2015/02/02,54.437
2457057,2015/02/03,53.191
2457058,2015/02/04,53.677
2457059,2015/02/05,53.533
2457060,2015/02/06,53.562
2457063,2015/02/09,52.715
2457064,2015/02/10,52.966
2457065,2015/02/11,52.383
2457066,2015/02/12,52.549
2457067,2015/02/13,50.865
2457071,2015/02/17,50.71
2457072,2015/02/18,49.334
2457073,2015/02/19,49.727
2457074,2015/02/20,49.554
2457077,2015/02/23,50.378
2457078,2015/02/24,49.85
2457079,2015/02/25,49.95
2457080,2015/02/26,48.9
2457081,2015/02/27,49.554
2457084,2015/03/02,49.628
2457085,2015/03/03,49.727
2457086,2015/03/04,49.925
2457087,2015/03/05,48.709
2457088,2015/03/06,47.985
2457091,2015/03/09,47.916
2457092,2015/03/10,49.164
2457093,2015/03/11,48.685
2457094,2015/03/12,48.193
2457095,2015/03/13,48.193
2457098,2015/03/16,48.876
2457099,2015/03/17,48.286
2457100,2015/03/18,47.824
2457101,2015/03/19,46.882
2457102,2015/03/20,47.259
2457105,2015/03/23,46.97
2457106,2015/03/24,46.211
2457107,2015/03/25,46.104
2457108,2015/03/26,45.809
2457109,2015/03/27,45.977
2457112,2015/03/30,45.558
2457113,2015/03/31,45.872
2457114,2015/04/01,45.662
2457115,2015/04/02,44.984
2457119,2015/04/06,44.464
2457120,2015/04/07,44.15
2457121,2015/04/08,42.919
2457122,2015/04/09,41.876
2457123,2015/04/10,41.511
2457126,2015/04/13,41.771
2457127,2015/04/14,41
2457128,2015/04/15,40.568
2457129,2015/04/16,41.085
2457130,2015/04/17,42.882
2457133,2015/04/20,43.668
2457134,2015/04/21,43.573
2457135,2015/04/22,42.955
2457136,2015/04/23,41.964
2457137,2015/04/24,42.017
2457140,2015/04/27,42.735
2457141,2015/04/28,42.699
2457142,2015/04/29,42.68
2457143,2015/04/30,42.626
2457144,2015/05/01,42.517
2457147,2015/05/04,43.029
2457148,2015/05/05,42.035
2457149,2015/05/06,42.123
2457150,2015/05/07,41.271
2457151,2015/05/08,42.123
2457154,2015/05/11,42.589
2457155,2015/05/12,41.841
2457156,2015/05/13,41
2457157,2015/05/14,41.788
2457158,2015/05/15,41.288
