YYYY-MM-DD,REA
2013-01-02,26.83824
2013-02-01,18.01598
2013-03-01,16.66983
2013-04-02,17.26034
2013-05-01,17.07205
2013-06-03,16.43257
2013-07-01,16.35333
2013-08-01,15.84437
2013-09-02,16.31009
2013-10-01,16.11442
2013-11-01,17.74863
2013-12-02,18.21684
2014-01-02,20.82193
2014-02-03,21.27207
2014-03-03,20.67680
2014-04-01,19.99619
2014-05-01,19.39869
2014-06-02,18.33481
2014-07-01,17.28590
2014-08-01,18.94520
2014-09-01,18.25775
2014-10-01,17.90500
2014-11-03,16.83684
2014-12-01,15.74320
2015-01-02,15.98057
2015-02-02,16.28562
2015-03-02,17.57796
2015-04-01,17.28744
2015-05-01,17.12204
2015-06-01,13.78886
2015-07-01,13.03906
2015-08-03,12.35480
2015-09-01,13.12642
2015-10-01,13.84798
2015-11-02,13.58469
