http://fx.sauder.ubc.ca/data.html

PACIFIC Exchange Rate Service
Jul.Day,YYYY/MM/DD,RUB/USD
2457025,2015/01/02,58.787
2457028,2015/01/05,60.169
2457029,2015/01/06,62.654
2457030,2015/01/07,63.172
2457031,2015/01/08,59.99
2457032,2015/01/09,61.949
2457035,2015/01/12,63.122
2457036,2015/01/13,65.793
2457037,2015/01/14,66.03
2457038,2015/01/15,64.742
2457039,2015/01/16,65.071
2457042,2015/01/19,64.821
2457043,2015/01/20,65.43
2457044,2015/01/21,65.298
2457045,2015/01/22,64.499
2457046,2015/01/23,63.703
2457049,2015/01/26,66.369
2457050,2015/01/27,66.94
2457051,2015/01/28,67.964
2457052,2015/01/29,69.244
2457053,2015/01/30,70.415
2457056,2015/02/02,68.47
2457057,2015/02/03,66.255
2457058,2015/02/04,67.364
2457059,2015/02/05,66.499
2457060,2015/02/06,67.076
2457063,2015/02/09,65.619
2457064,2015/02/10,66.356
2457065,2015/02/11,66.186
2457066,2015/02/12,65.486
2457067,2015/02/13,63.321
2457071,2015/02/17,62.895
2457072,2015/02/18,61.446
2457073,2015/02/19,62.089
2457074,2015/02/20,61.972
2457077,2015/02/23,63.375
2457078,2015/02/24,62.826
2457079,2015/02/25,62.033
2457080,2015/02/26,61.076
2457081,2015/02/27,61.982
2457084,2015/03/02,62.208
2457085,2015/03/03,61.919
2457086,2015/03/04,62.107
2457087,2015/03/05,60.799
2457088,2015/03/06,60.537
2457091,2015/03/09,60.364
2457092,2015/03/10,62.109
2457093,2015/03/11,62.142
2457094,2015/03/12,61.161
2457095,2015/03/13,61.701
2457098,2015/03/16,62.39
2457099,2015/03/17,61.656
2457100,2015/03/18,61.076
2457101,2015/03/19,59.747
2457102,2015/03/20,59.523
2457105,2015/03/23,58.788
2457106,2015/03/24,57.814
2457107,2015/03/25,57.69
2457108,2015/03/26,57.128
2457109,2015/03/27,57.839
2457112,2015/03/30,57.809
2457113,2015/03/31,58.179
2457114,2015/04/01,57.589
2457115,2015/04/02,56.613
2457119,2015/04/06,55.367
2457120,2015/04/07,55.135
2457121,2015/04/08,53.682
2457122,2015/04/09,52.68
2457123,2015/04/10,52.283
2457126,2015/04/13,52.64
2457127,2015/04/14,51.16
2457128,2015/04/15,50.219
2457129,2015/04/16,50.148
2457130,2015/04/17,52.44
2457133,2015/04/20,53.293
2457134,2015/04/21,53.482
2457135,2015/04/22,52.62
2457136,2015/04/23,50.974
2457137,2015/04/24,51.118
2457140,2015/04/27,51.731
2457141,2015/04/28,51.328
2457142,2015/04/29,51.02
2457143,2015/04/30,51.658
2457144,2015/05/01,51.837
2457147,2015/05/04,52.113
2457148,2015/05/05,50.61
2457149,2015/05/06,50.585
2457150,2015/05/07,50.099
2457151,2015/05/08,50.918
2457154,2015/05/11,51.554
